state,Income
Alabama,70090.35
Alaska,91268.57
Arizona,87823.18
Arkansas,68079.14
California,102375.47
Colorado,98129.07
Connecticut,103865.55
Delaware,93957.11
District of Columbia,127263.58
Florida,78433.46
Georgia,79797.68
Hawaii,108561.68
Idaho,77877.59
Illinois,97212.04
Indiana,78056.95
Iowa,86231.80
Kansas,84168.27
Kentucky,80547.15
Louisiana,71388.37
Maine,74331.65
Maryland,108787.55
Massachusetts,117996.28
Michigan,82676.47
Minnesota,96785.18
Mississippi,60922.93
Missouri,86397.22
Montana,74351.71
Nebraska,89613.73
Nevada,83997.52
New Hampshire,101016.39
New Jersey,114160.42
New Mexico,75956.72
New York,102330.23
North Carolina,75741.17
North Dakota,86102.51
Ohio,82985.94
Oklahoma,74872.16
Oregon,91458.36
Pennsylvania,88716.82
Rhode Island,92008.88
South Carolina,80500.78
South Dakota,84257.55
Tennessee,79019.22
Texas,84470.84
Utah,100221.80
Vermont,84281.16
Virginia,105791.79
Washington,106407.57
West Virginia,66563.23
Wisconsin,80671.17
Wyoming,80293.39
,
,
,
,
,
,
,
,